account_id,month_in_areas,total_arrears_amount,ptp_broken,ptp_kept,call_successful,call_unsuccessful,score,score %,score_id,behavior
1701573,0,323.22,2,0,3,6,210.0,40.0,1.0,Confident
1701597,1,867.01,1,0,1,6,210.0,40.0,1.0,Confident
1701624,2,572.34,3,0,4,1,210.0,40.0,1.0,Confident
1701627,0,0.0,1,0,1,0,210.0,40.0,1.0,Confident
1701647,0,0.0,0,1,1,0,210.0,40.0,1.0,Confident
1701730,0,665.88,0,0,0,13,210.0,40.0,1.0,Confident
1701747,0,0.0,0,0,0,6,210.0,40.0,1.0,Confident
1701758,0,0.0,0,0,0,3,210.0,40.0,1.0,Confident
1701766,0,0.0,2,0,2,3,210.0,40.0,1.0,Confident
1701779,2,953.6,1,0,0,4,210.0,40.0,1.0,Confident
1701801,0,39.8,0,0,0,1,210.0,40.0,1.0,Confident
1701816,0,1209.98,0,0,0,13,210.0,40.0,1.0,Confident
1701828,0,418.7,0,0,0,2,210.0,40.0,1.0,Confident
1701835,1,856.58,0,0,0,8,210.0,40.0,1.0,Confident
1701846,0,0.0,1,0,1,0,210.0,40.0,1.0,Confident
1701852,0,0.0,0,0,0,1,210.0,40.0,1.0,Confident
1701869,0,0.0,0,1,1,0,210.0,40.0,1.0,Confident
1701877,0,364.41,1,0,1,3,210.0,40.0,1.0,Confident
1701886,1,229.31,0,0,0,7,210.0,40.0,1.0,Confident
1701938,0,0.0,0,0,0,1,210.0,40.0,1.0,Confident
1701953,7,3758.6,0,0,1,0,195.0,25.0,3.0,Non Confident
1701955,0,786.48,0,0,0,4,210.0,40.0,1.0,Confident
1701959,0,336.8,1,1,2,5,210.0,40.0,1.0,Confident
1701962,0,0.0,0,0,0,4,210.0,40.0,1.0,Confident
1701976,0,0.0,0,0,0,1,210.0,40.0,1.0,Confident
1702028,0,0.0,0,1,2,4,210.0,40.0,1.0,Confident
1702031,0,0.0,0,1,1,0,210.0,40.0,1.0,Confident
1702041,0,0.0,0,0,0,4,210.0,40.0,1.0,Confident
1702047,0,534.13,0,0,0,10,210.0,40.0,1.0,Confident
1702076,0,0.59,0,0,1,0,210.0,40.0,1.0,Confident
1702117,17,24080.84,0,0,1,0,195.0,25.0,3.0,Non Confident
1702118,0,3.46,0,0,0,22,210.0,40.0,1.0,Confident
1702129,0,233.36,0,0,0,1,210.0,40.0,1.0,Confident
1702142,0,134.16,0,1,1,0,210.0,40.0,1.0,Confident
1702149,5,601.11,0,0,1,1,205.0,35.0,2.0,Potential Confident
1702156,12,4563.97,0,0,1,0,195.0,25.0,3.0,Non Confident
1702212,0,0.0,0,0,0,6,210.0,40.0,1.0,Confident
1702220,0,14.0,2,1,3,1,210.0,40.0,1.0,Confident
1702232,0,54.07,0,0,0,2,210.0,40.0,1.0,Confident
1702234,1,218.12,3,0,3,12,210.0,40.0,1.0,Confident
1702235,0,34.2,2,0,2,5,210.0,40.0,1.0,Confident
1702240,0,0.0,0,0,1,0,210.0,40.0,1.0,Confident
1702244,0,0.0,0,0,0,1,210.0,40.0,1.0,Confident
1702271,0,972.46,4,0,4,12,210.0,40.0,1.0,Confident
1702290,1,519.91,3,0,3,17,210.0,40.0,1.0,Confident
1702350,0,0.0,0,1,1,2,210.0,40.0,1.0,Confident
1702363,0,419.94,2,0,2,4,210.0,40.0,1.0,Confident
1702422,1,663.84,0,0,0,12,210.0,40.0,1.0,Confident
1702432,0,0.0,1,0,1,0,210.0,40.0,1.0,Confident
1702446,1,242.31,0,0,2,10,210.0,40.0,1.0,Confident
1702485,0,0.0,0,0,0,1,210.0,40.0,1.0,Confident
1702489,2,711.49,0,0,0,11,210.0,40.0,1.0,Confident
1702530,0,0.0,0,0,0,1,210.0,40.0,1.0,Confident
1702555,0,0.0,0,0,0,3,210.0,40.0,1.0,Confident
1702557,0,591.61,0,0,1,6,210.0,40.0,1.0,Confident
1702561,0,2.29,0,0,0,5,210.0,40.0,1.0,Confident
1702574,1,1585.79,2,0,2,13,210.0,40.0,1.0,Confident
1702575,0,0.0,0,0,0,1,210.0,40.0,1.0,Confident
1702576,0,0.0,2,0,2,0,210.0,40.0,1.0,Confident
1702594,0,0.0,0,0,0,2,210.0,40.0,1.0,Confident
1702596,0,63.39,0,0,1,7,210.0,40.0,1.0,Confident
1702643,0,376.65,2,0,2,5,210.0,40.0,1.0,Confident
1702649,1,1160.11,0,0,0,8,210.0,40.0,1.0,Confident
1702676,4,2048.25,0,0,1,1,205.0,35.0,2.0,Potential Confident
1702684,2,1858.28,1,0,1,0,210.0,40.0,1.0,Confident
1702692,0,345.7,0,0,0,1,210.0,40.0,1.0,Confident
1702707,0,9.45,0,0,0,2,210.0,40.0,1.0,Confident
1702780,0,0.0,1,2,3,0,220.0,40.0,1.0,Confident
1702788,0,0.0,0,1,1,2,210.0,40.0,1.0,Confident
1702802,0,0.0,0,0,0,2,210.0,40.0,1.0,Confident
1702805,0,189.91,0,0,0,2,210.0,40.0,1.0,Confident
1702824,0,0.0,0,0,0,1,210.0,40.0,1.0,Confident
1702838,0,0.0,1,1,2,0,210.0,40.0,1.0,Confident
1702844,0,0.0,0,0,0,1,210.0,40.0,1.0,Confident
1702870,0,1141.6,1,1,2,8,210.0,40.0,1.0,Confident
1702894,0,0.0,0,1,1,1,210.0,40.0,1.0,Confident
1702913,0,0.1,0,0,0,1,210.0,40.0,1.0,Confident
1702924,0,0.0,3,0,3,2,210.0,40.0,1.0,Confident
1702966,0,0.0,0,0,0,8,210.0,40.0,1.0,Confident
1703055,1,1388.09,2,0,2,16,210.0,40.0,1.0,Confident
1703063,0,0.0,0,1,1,3,210.0,40.0,1.0,Confident
1703079,0,17.05,0,0,0,2,210.0,40.0,1.0,Confident
1703122,2,1116.46,0,0,5,7,220.0,40.0,1.0,Confident
1703125,0,612.55,0,0,0,2,210.0,40.0,1.0,Confident
1703135,0,0.0,0,0,0,2,210.0,40.0,1.0,Confident
1703209,0,0.0,1,0,1,0,210.0,40.0,1.0,Confident
1703225,0,0.0,0,0,0,2,210.0,40.0,1.0,Confident
1703260,0,0.0,2,0,2,5,210.0,40.0,1.0,Confident
1703314,0,0.0,1,2,3,0,220.0,40.0,1.0,Confident
1703335,0,0.0,1,0,1,2,210.0,40.0,1.0,Confident
1703345,0,4.98,0,0,1,12,210.0,40.0,1.0,Confident
1703366,0,14.58,0,0,1,11,210.0,40.0,1.0,Confident
1703367,0,0.0,1,0,1,2,210.0,40.0,1.0,Confident
1703369,0,0.0,1,0,0,11,210.0,40.0,1.0,Confident
1703399,1,3188.52,0,0,0,3,210.0,40.0,1.0,Confident
1703401,0,0.0,2,1,3,1,210.0,40.0,1.0,Confident
1703402,0,0.0,0,0,0,7,210.0,40.0,1.0,Confident
1703407,0,0.0,0,1,1,0,210.0,40.0,1.0,Confident
1703411,1,839.31,1,1,2,10,210.0,40.0,1.0,Confident
1703439,0,113.42,0,0,0,4,210.0,40.0,1.0,Confident
1703449,1,894.52,0,0,0,5,210.0,40.0,1.0,Confident
1703454,0,22.43,0,0,0,2,210.0,40.0,1.0,Confident
1703466,0,260.72,0,0,1,6,210.0,40.0,1.0,Confident
1703468,0,0.0,3,1,4,1,210.0,40.0,1.0,Confident
1703496,0,0.0,0,1,1,0,210.0,40.0,1.0,Confident
1703509,1,1929.49,0,0,0,13,210.0,40.0,1.0,Confident
1703510,0,603.73,6,0,6,13,215.0,40.0,1.0,Confident
1703582,0,510.63,1,0,1,1,210.0,40.0,1.0,Confident
1703585,0,155.89,1,0,1,5,210.0,40.0,1.0,Confident
1703593,1,369.99,0,0,1,8,210.0,40.0,1.0,Confident
1703609,0,0.0,0,1,1,1,210.0,40.0,1.0,Confident
1703630,0,0.0,0,0,0,8,210.0,40.0,1.0,Confident
1703662,0,247.01,0,0,0,6,210.0,40.0,1.0,Confident
1703698,2,1326.6,0,0,0,8,210.0,40.0,1.0,Confident
1703706,0,0.0,2,0,2,0,210.0,40.0,1.0,Confident
1703714,0,0.0,0,0,0,1,210.0,40.0,1.0,Confident
1703720,0,868.01,0,0,0,4,210.0,40.0,1.0,Confident
1703738,2,1975.76,1,0,0,3,210.0,40.0,1.0,Confident
1703749,0,0.0,1,0,1,0,210.0,40.0,1.0,Confident
1703771,1,155.12,0,0,0,5,210.0,40.0,1.0,Confident
1703809,0,3.68,0,1,1,1,210.0,40.0,1.0,Confident
1703869,0,12.25,1,1,2,1,210.0,40.0,1.0,Confident
1703876,2,989.99,1,0,2,9,210.0,40.0,1.0,Confident
1703879,0,6.48,0,0,1,0,210.0,40.0,1.0,Confident
1703912,0,0.68,0,0,1,0,210.0,40.0,1.0,Confident
1703916,0,25.0,0,0,0,1,210.0,40.0,1.0,Confident
1703973,0,0.0,1,0,1,0,210.0,40.0,1.0,Confident
1703986,0,0.0,0,0,0,2,210.0,40.0,1.0,Confident
1704025,0,0.0,0,0,0,1,210.0,40.0,1.0,Confident
1704028,0,0.0,1,1,2,0,210.0,40.0,1.0,Confident
1704068,0,81.0,0,0,0,3,210.0,40.0,1.0,Confident
1704074,1,1250.54,4,0,4,10,210.0,40.0,1.0,Confident
1704084,1,616.53,0,0,0,6,210.0,40.0,1.0,Confident
1704105,0,0.0,0,0,0,2,210.0,40.0,1.0,Confident
1704124,0,0.0,1,0,1,4,210.0,40.0,1.0,Confident
1704135,0,0.0,0,1,1,10,210.0,40.0,1.0,Confident
1704172,0,0.0,0,1,1,0,210.0,40.0,1.0,Confident
1704200,0,396.45,1,1,2,22,210.0,40.0,1.0,Confident
1704251,0,595.67,5,2,7,1,230.0,40.0,1.0,Confident
1704282,0,49.81,0,0,0,1,210.0,40.0,1.0,Confident
1704284,0,1058.32,4,0,5,1,220.0,40.0,1.0,Confident
1704309,0,723.25,1,0,1,4,210.0,40.0,1.0,Confident
1704362,0,0.06,1,0,1,8,210.0,40.0,1.0,Confident
1704376,0,0.0,0,1,1,4,210.0,40.0,1.0,Confident
1704377,0,0.0,0,0,0,3,210.0,40.0,1.0,Confident
1704379,0,215.64,0,0,1,6,210.0,40.0,1.0,Confident
1704445,0,0.0,1,1,2,2,210.0,40.0,1.0,Confident
1704447,0,634.56,0,0,0,2,210.0,40.0,1.0,Confident
1704480,0,0.0,0,0,0,1,210.0,40.0,1.0,Confident
1704484,0,0.0,0,0,0,1,210.0,40.0,1.0,Confident
1704494,0,941.92,0,0,0,8,210.0,40.0,1.0,Confident
1704505,0,0.0,0,0,0,1,210.0,40.0,1.0,Confident
1704519,10,10878.19,0,0,0,3,195.0,25.0,3.0,Non Confident
1704520,0,0.0,1,0,1,4,210.0,40.0,1.0,Confident
1704523,0,691.3,2,0,2,12,210.0,40.0,1.0,Confident
1704530,1,2020.89,4,0,4,4,210.0,40.0,1.0,Confident
1704560,2,1636.54,1,0,1,5,210.0,40.0,1.0,Confident
1704577,0,0.23,0,0,1,8,210.0,40.0,1.0,Confident
1704610,4,1663.86,0,0,1,2,205.0,35.0,2.0,Potential Confident
1704630,0,0.0,0,0,0,3,210.0,40.0,1.0,Confident
1704684,2,1903.05,0,0,1,3,210.0,40.0,1.0,Confident
1704710,0,0.0,2,1,4,0,210.0,40.0,1.0,Confident
1704713,0,0.0,0,0,0,2,210.0,40.0,1.0,Confident
1704716,0,0.0,2,0,2,10,210.0,40.0,1.0,Confident
1704719,0,0.0,0,0,0,7,210.0,40.0,1.0,Confident
1704742,1,982.28,4,0,4,6,210.0,40.0,1.0,Confident
